Exam,Section,Section Position,Question_Number,Question_Difficulty,question_type,ans,Tag_Category,Tag_Group,Tag
College Board Test 1,reading,1,1,e,mc,B,Literature,No Line Reference,Summary
College Board Test 1,reading,1,2,e,mc,B,Literature,No Line Reference,Summary
College Board Test 1,reading,1,3,h,mc,C,Literature,Line Reference,Words in Context
College Board Test 1,reading,1,4,m,mc,A,Literature,No Line Reference,Comprehension
College Board Test 1,reading,1,5,m,mc,C,Literature,Command of Evidence,
College Board Test 1,reading,1,6,m,mc,D,Literature,No Line Reference,Comprehension
College Board Test 1,reading,1,7,h,mc,D,Literature,Line Reference,Role/Purpose
College Board Test 1,reading,1,8,e,mc,B,Literature,Line Reference,Words in Context
College Board Test 1,reading,1,9,e,mc,C,Literature,Line Reference,Comprehension
College Board Test 1,reading,1,10,e,mc,B,Literature,Command of Evidence,
College Board Test 1,reading,1,11,e,mc,A,Social Science,Line Reference,Comprehension
College Board Test 1,reading,1,12,h,mc,B,Social Science,Line Reference,Words in Context
College Board Test 1,reading,1,13,e,mc,D,Social Science,No Line Reference,Comprehension
College Board Test 1,reading,1,14,e,mc,A,Social Science,Command of Evidence,
College Board Test 1,reading,1,15,m,mc,A,Social Science,Line Reference,Comprehension
College Board Test 1,reading,1,16,h,mc,C,Social Science,Line Reference,Comprehension
College Board Test 1,reading,1,17,m,mc,C,Social Science,Command of Evidence,
College Board Test 1,reading,1,18,e,mc,D,Social Science,Line Reference,Words in Context
College Board Test 1,reading,1,19,m,mc,A,Social Science,Line Reference,Purpose
College Board Test 1,reading,1,20,e,mc,B,Social Science,Figure,
College Board Test 1,reading,1,21,h,mc,A,Social Science,Figure,
College Board Test 1,reading,1,22,h,mc,B,Natural Science,Line Reference,Words in Context
College Board Test 1,reading,1,23,m,mc,D,Natural Science,Command of Evidence,
College Board Test 1,reading,1,24,e,mc,D,Natural Science,Line Reference,Comprehension
College Board Test 1,reading,1,25,e,mc,C,Natural Science,No Line Reference,Comprehension
College Board Test 1,reading,1,26,m,mc,B,Natural Science,Line Reference,Inference
College Board Test 1,reading,1,27,h,mc,D,Natural Science,Line Reference,Role/Purpose
College Board Test 1,reading,1,28,m,mc,C,Natural Science,Figure,
College Board Test 1,reading,1,29,m,mc,A,Natural Science,Figure,
College Board Test 1,reading,1,30,m,mc,A,Natural Science,Figure,
College Board Test 1,reading,1,31,m,mc,D,Natural Science,Figure,
College Board Test 1,reading,1,32,m,mc,B,History,No Line Reference,Summary
College Board Test 1,reading,1,33,m,mc,A,History,No Line Reference,Summary
College Board Test 1,reading,1,34,e,mc,C,History,Line Reference,Words in Context
College Board Test 1,reading,1,35,e,mc,B,History,Line Reference,Comprehension
College Board Test 1,reading,1,36,m,mc,D,History,No Line Reference,Comprehension
College Board Test 1,reading,1,37,m,mc,C,History,Command of Evidence,
College Board Test 1,reading,1,38,e,mc,C,History,Line Reference,Comprehension
College Board Test 1,reading,1,39,e,mc,B,History,Command of Evidence,
College Board Test 1,reading,1,40,e,mc,C,History,Line Reference,Words in Context
College Board Test 1,reading,1,41,m,mc,B,History,Line Reference,Role/Purpose
College Board Test 1,reading,1,42,e,mc,B,Paired Passage Science,Line Reference,
